,ticket_id,UID,currency,sales,quantity,ticket_date
0,202308240687518,c8d07ae8-c8a3-5f51-ab0f-a31f9e5a678af0a2dfed-0632-5e1c-a70a-c0e4ce541100,USD,272.90999999999997,3,2023-08-24
1,202308240908693,a28b2a1c-84a9-5096-8391-f6a09b524769a28b2a1c-84a9-5096-8391-f6a09b524769,USD,420.0,3,2023-08-24
2,202308240887548,c4b3a45d-0b0a-59af-a814-b7c45fed7a27c4b3a45d-0b0a-59af-a814-b7c45fed7a27,USD,120.0,1,2023-08-24
3,202308240180353,385d618a-fe90-5597-99cc-b258add6b3ff385d618a-fe90-5597-99cc-b258add6b3ff,USD,600.0,4,2023-08-24
4,202308240622699,d7a20061-8453-5da3-9a2e-1f4b92d4bbaed7a20061-8453-5da3-9a2e-1f4b92d4bbae,USD,320.0,2,2023-08-24
5,202308240321561,d865b651-957b-56d1-a388-0ab59bff1b73d865b651-957b-56d1-a388-0ab59bff1b73,USD,500.0,5,2023-08-24
6,202308240110279,6419aadf-f719-5086-a7cf-5d53cd18855f6419aadf-f719-5086-a7cf-5d53cd18855f,USD,405.0,3,2023-08-24
7,202308240669145,ae71edbf-bd4f-5162-a0e9-11ab71358356ae71edbf-bd4f-5162-a0e9-11ab71358356,USD,675.0,5,2023-08-24
8,202308240721668,202d0acc-fa73-554b-a67b-0196bb0feb771adfc052-5bbe-59cd-b274-e3277abdd744,USD,320.0,2,2023-08-24
9,202308240568985,202d0acc-fa73-554b-a67b-0196bb0feb77365f06d0-9136-5b2d-ab1c-f0a647782253,USD,160.0,1,2023-08-24
10,202308240252598,202d0acc-fa73-554b-a67b-0196bb0feb77a5b5ffdd-73e0-5d3d-b1e5-34f216928bdb,USD,800.0,5,2023-08-24
11,202308240255675,bc19cc33-507d-536a-8e55-641d46eadbeebc19cc33-507d-536a-8e55-641d46eadbee,USD,320.0,2,2023-08-24
12,202308240548506,bc19cc33-507d-536a-8e55-641d46eadbee3156e681-ec4d-50dd-b5ec-58d6ef0f9805,USD,480.0,3,2023-08-24
13,202308240013552,bc19cc33-507d-536a-8e55-641d46eadbee38b233fd-94d1-57a2-84b8-d5450d3f24ae,USD,320.0,2,2023-08-24
14,202308240517764,8c48735a-c504-57b0-bede-44dfcece99e743df8964-3573-573f-bb5f-60216edd65a3,USD,390.0,3,2023-08-24
15,202308240901834,8c48735a-c504-57b0-bede-44dfcece99e7ea219266-adcb-5e79-9293-9d96782c4756,USD,650.0,5,2023-08-24
16,202308240049961,8c48735a-c504-57b0-bede-44dfcece99e7b9a3a0ce-65cb-5121-8a0d-5b4dc2ebf8ad,USD,520.0,4,2023-08-24
17,202308240045654,8c48735a-c504-57b0-bede-44dfcece99e73461920e-3e3e-50c9-8f27-1e541bac5881,USD,260.0,2,2023-08-24
18,202308240613608,8c48735a-c504-57b0-bede-44dfcece99e73b07ef9b-625b-52c0-8188-813c9504487e,USD,390.0,3,2023-08-24
19,202308240489751,8c48735a-c504-57b0-bede-44dfcece99e798bb0f11-8119-53dd-bf9c-218b17101cec,USD,520.0,4,2023-08-24
20,202308240108701,8c48735a-c504-57b0-bede-44dfcece99e7a5ec2d7c-85dd-546e-940b-380183386488,USD,520.0,4,2023-08-24
21,202308240824729,c61bcbaa-2717-56c1-9a55-a9fc8924cdadc61bcbaa-2717-56c1-9a55-a9fc8924cdad,USD,520.0,4,2023-08-24
22,202308240358778,c61bcbaa-2717-56c1-9a55-a9fc8924cdadc93d751e-f011-52a9-9739-660a7b2b5ebd,USD,130.0,1,2023-08-24
23,202308240095961,c61bcbaa-2717-56c1-9a55-a9fc8924cdadce2be97e-b700-5a70-9377-2cd05fd03d12,USD,520.0,4,2023-08-24
24,202308240115203,c61bcbaa-2717-56c1-9a55-a9fc8924cdad54784725-3a34-597f-a409-9fa2f751a1ca,USD,260.0,2,2023-08-24
25,202308240313361,c61bcbaa-2717-56c1-9a55-a9fc8924cdad9063410f-51d2-50b7-adfb-6e70c7756bea,USD,650.0,5,2023-08-24
