,ticket_id,UID,currency,sales,quantity,ticket_date
0,202308220837099,c4b3a45d-0b0a-59af-a814-b7c45fed7a27c4b3a45d-0b0a-59af-a814-b7c45fed7a27,USD,480.0,4,2023-08-22
1,202308220332924,8f3506cd-61e9-5f1d-8874-4092c1254a778f3506cd-61e9-5f1d-8874-4092c1254a77,USD,875.0,5,2023-08-22
2,202308220301048,d7a20061-8453-5da3-9a2e-1f4b92d4bbaed7a20061-8453-5da3-9a2e-1f4b92d4bbae,USD,320.0,2,2023-08-22
3,202308220922620,c3a284d2-7fed-5de8-a809-606bdb1c5363c3a284d2-7fed-5de8-a809-606bdb1c5363,USD,425.0,5,2023-08-22
4,202308220620260,89eb13a7-c6ba-576d-8b30-ec4c90fc635689eb13a7-c6ba-576d-8b30-ec4c90fc6356,USD,200.0,1,2023-08-22
5,202308220384776,6419aadf-f719-5086-a7cf-5d53cd18855f6419aadf-f719-5086-a7cf-5d53cd18855f,USD,270.0,2,2023-08-22
6,202308220086565,2754c187-81c9-5aa1-9f2e-9e68d3864e812754c187-81c9-5aa1-9f2e-9e68d3864e81,USD,140.0,1,2023-08-22
7,202308220901600,2754c187-81c9-5aa1-9f2e-9e68d3864e8112040468-5bad-5ed3-99ce-b2245425c4b2,USD,140.0,1,2023-08-22
8,202308220752541,f1326c52-8847-5d65-9a19-a8bd213462418c3038c8-ea14-549b-a0cf-a1997aef3de7,USD,600.0,4,2023-08-22
9,202308220342383,202d0acc-fa73-554b-a67b-0196bb0feb771adfc052-5bbe-59cd-b274-e3277abdd744,USD,320.0,2,2023-08-22
10,202308220163600,202d0acc-fa73-554b-a67b-0196bb0feb77a5b5ffdd-73e0-5d3d-b1e5-34f216928bdb,USD,800.0,5,2023-08-22
11,202308220330679,202d0acc-fa73-554b-a67b-0196bb0feb774c15156a-3978-573b-a013-828e03550a17,USD,800.0,5,2023-08-22
12,202308220610533,202d0acc-fa73-554b-a67b-0196bb0feb77f3e4500c-59db-5b32-be8b-0bced934b53b,USD,320.0,2,2023-08-22
13,202308220268263,bc19cc33-507d-536a-8e55-641d46eadbeebc19cc33-507d-536a-8e55-641d46eadbee,USD,800.0,5,2023-08-22
14,202308220996712,bc19cc33-507d-536a-8e55-641d46eadbee98488f65-bb6c-5c5e-af8c-73fead999871,USD,320.0,2,2023-08-22
15,202308220328540,bc19cc33-507d-536a-8e55-641d46eadbee38b233fd-94d1-57a2-84b8-d5450d3f24ae,USD,160.0,1,2023-08-22
16,202308220995750,bc19cc33-507d-536a-8e55-641d46eadbee3ae882d8-a6b9-5dde-aca1-85be7f93e08c,USD,800.0,5,2023-08-22
17,202308220819433,bc19cc33-507d-536a-8e55-641d46eadbee8cbbcd41-6133-5532-b035-f03520e18bc7,USD,800.0,5,2023-08-22
18,202308220617204,bc19cc33-507d-536a-8e55-641d46eadbeec201c60e-cb8a-5eba-a210-a38ad0cfd561,USD,640.0,4,2023-08-22
